RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,County,CommonName,BroadType,Longitude,Latitude
1,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,European Silver Fir,Firs,-9.290247133,53.53548334
2,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
3,,,11/09/2009,11/09/2009,D,11/09/2009,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Fermanagh,European Silver Fir,Firs,-7.396266316,52.55429706
4,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.55150367,53.65929686
5,,,29/07/2009,29/07/2009,D,29/07/2009,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.322671846,53.68607293
7,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
8,,,12/08/2009,12/08/2009,D,12/08/2009,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,FALSE,FALSE,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,European Silver Fir,Firs,,
9,,,22/10/2009,22/10/2009,D,22/10/2009,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Bristlecone Fir,Firs,-8.175024314,52.26454931
10,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Nordmann Fir,Firs,-6.936959136,52.52589977
11,,,24/07/2009,24/07/2009,D,24/07/2009,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,FALSE,FALSE,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,Kilkenny,Noble Fir,Firs,,
