RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,Longitude,Latitude
1,,,15/10/2009,15/10/2009,D,15/10/2009,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-9.288847354230045,53.53557929855568
2,,,28/08/2009,28/08/2009,D,28/08/2009,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.215602717551553,52.906306765988056
3,,,11/09/2009,11/09/2009,D,11/09/2009,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.369720979900106,54.35126435147572
4,,,19/10/2009,19/10/2009,D,19/10/2009,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.551389199950182,53.660105041053654
5,,,29/07/2009,29/07/2009,D,29/07/2009,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.321767367861199,53.68678658700201
6,,,17/09/2009,17/09/2009,D,17/09/2009,NHMSYS0000455513,Abies alba,M880199,188021,219970,OSI,100,,"Ballymore Castle, Galway",Aubrey Fennell,Aubrey Fennell,False,False,,Landmark trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.180111495088166,53.230257734361366
7,,,07/08/2009,07/08/2009,D,07/08/2009,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.147682844322482,52.92802155954897
8,,,12/08/2009,12/08/2009,D,12/08/2009,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,False,False,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-7.533709047742351,52.48271345224756
9,,,22/10/2009,22/10/2009,D,22/10/2009,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-8.181881639412342,54.06211660687044
10,,,11/09/2009,11/09/2009,D,11/09/2009,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.8896564196789765,54.323265667218884
11,,,24/07/2009,24/07/2009,D,24/07/2009,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,-7.058747398662215,52.47436880159836
12,,,28/08/2009,28/08/2009,D,28/08/2009,NBNSYS0000039455,Abies procera,T196862,319626,186271,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,-6.222425393144548,52.914290546563066
13,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S725183,272544,118344,OSI,100,,"John F. Kennedy Arboretum, Co. Wexford",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.937039254454747,52.31241012296249
14,,,24/08/2009,24/08/2009,D,24/08/2009,NBDCSYS000000011,Acacia dealbata,S747355,274716,135588,OSI,100,,"Pollinmounty Mill, Co. Carlow",Aubrey Fennell,Aubrey Fennell,False,False,,Unusual location,Individual tree,Maiden,Standing alive,0 - 50 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,-6.901356400382524,52.467053051911826
