RecordKey,SurveyKey,SampleKey,StartDate,EndDate,DateType,Date,TaxonVersionKey,TaxonName,GridReference,East,North,Projection,Precision,SiteKey,SiteName,Recorder,Determiner,ZeroAbundance,UnderValidation,ImagePath,Heritage Type,Category of Tree,Tree form,Condition of tree,Age Range,Evidence of,Access,Variety,County,CommonName,BroadType,Latitude,Longitude
1,,,2009-10-15,2009-10-15,D,2009-10-15,NHMSYS0000455513,Abies alba,M145547,114593,254709,OSI,100,,"Ashford Castle Hotel, Co. Mayo",Aubrey Fennell,Aubrey Fennell,False,False,,Arboricultural curiosities,Individual tree,Multi-stem,Standing alive,150 - 200 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Mayo,European Silver Fir,Firs,-9.29024713275581,53.53548333803815
2,,,2009-08-28,2009-08-28,D,2009-08-28,NHMSYS0000455513,Abies alba,T201853,320107,185394,OSI,100,,"Avondale, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
3,,,2009-09-11,2009-09-11,D,2009-09-11,NHMSYS0000455513,Abies alba,H410449,241032,344912,OSI,100,,"Colebrooke Estate, Co. Fermanagh",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Fermanagh,European Silver Fir,Firs,-7.396266315503296,52.55429705974704
4,,,2009-10-19,2009-10-19,D,2009-10-19,NHMSYS0000455513,Abies alba,N297678,229707,267890,OSI,100,,"Newpass House, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.551503669918809,53.65929685634301
5,,,2009-07-29,2009-07-29,D,2009-07-29,NHMSYS0000455513,Abies alba,N448709,244859,270980,OSI,100,,"Tullynally Castle, Co. Westmeath",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,200 - 300 years,Significant habitat,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Westmeath,European Silver Fir,Firs,-7.322671846416022,53.68607293479373
7,,,2009-08-07,2009-08-07,D,2009-08-07,NHMSYS0000455513,Abies alba,T246879,324614,187926,OSI,100,,"Kilmacurragh, Co. Wicklow",Aubrey Fennell,Aubrey Fennell,False,False,,,Individual tree,Maiden,Standing alive,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Wicklow,European Silver Fir,Firs,,
8,,,2009-08-12,2009-08-12,D,2009-08-12,NHMSYS0000455513,Abies alba,S317368,231729,136865,OSI,100,,"Clonmel, Co. Tipperary",Kate Crane,Kate Crane,False,False,,,Individual tree,,Gone,200 - 300 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Tipperary,European Silver Fir,Firs,,
9,,,2009-10-22,2009-10-22,D,2009-10-22,NBDCSYS000000010,Abies bracteata,G881125,188139,312558,OSI,100,,"Kilronan Castle, Ballyfarnon, Co. Roscommon",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Roscommon,Bristlecone Fir,Firs,-8.175024314475843,52.264549309095635
10,,,2009-09-11,2009-09-11,D,2009-09-11,NBNSYS0000034011,Abies nordmanniana,H722421,272296,342181,OSI,100,,"Castle Leslie, Co. Monaghan",Aubrey Fennell,Aubrey Fennell,False,False,,Exceptional specimen trees,Individual tree,Maiden,Standing alive,150 - 200 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,,Monaghan,Nordmann Fir,Firs,-6.936959136474169,52.525899765343155
11,,,2009-07-24,2009-07-24,D,2009-07-24,NBNSYS0000039455,Abies procera,S640362,264009,136251,OSI,100,,"Woodstock Gardens, Co. Kilkenny",Aubrey Fennell,Aubrey Fennell,False,False,,Tree collection / Arboretum,Avenue,Maiden,Standing alive,100 - 150 years,,Please note that most heritage trees occur on private lands and permission should always be sought before entering on private property.,Glauca Group,Kilkenny,Noble Fir,Firs,,
